player_name,player_link,player_birthday,player_current_team,player_handedness,player_position,player_image
Adonis Thomas,https://www.basketball-reference.com/players/t/thomaad01.html,1993-03-25,Free Agent / Retired,Right,Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/thomaad01.jpg
Adreian Payne,https://www.basketball-reference.com/players/p/paynead01.html,1991-02-19,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/paynead01.jpg
Adrian Caldwell,https://www.basketball-reference.com/players/c/caldwad01.html,1966-07-04,Free Agent / Retired,Left,Power Forward,
Adrian Griffin,https://www.basketball-reference.com/players/g/griffad01.html,1974-07-04,Free Agent / Retired,Left,Shooting Guard and Small Forward,
Ahmad Caver,https://www.basketball-reference.com/players/c/caverah01.html,1996-09-12,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/caverah01.jpg
Ajay Mitchell,https://www.basketball-reference.com/players/m/mitchaj01.html,2002-06-25,Oklahoma City Thunder,Left,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/mitchaj01.jpg
Al Harrington,https://www.basketball-reference.com/players/h/harrial01.html,1980-02-17,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/harrial01.jpg
Al Horford,https://www.basketball-reference.com/players/h/horfoal01.html,1986-06-03,Boston Celtics,Right,Center,https://www.basketball-reference.com/req/202106291/images/headshots/horfoal01.jpg
Al Jefferson,https://www.basketball-reference.com/players/j/jeffeal01.html,1985-01-04,Free Agent / Retired,Right,Center and Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/jeffeal01.jpg
Al Thornton,https://www.basketball-reference.com/players/t/thornal01.html,1983-12-07,Free Agent / Retired,Right,Small Forward and Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/thornal01.jpg
Al-Farouq Aminu,https://www.basketball-reference.com/players/a/aminual01.html,1990-09-21,Free Agent / Retired,Right,Power Forward and Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/aminual01.jpg
Alan Anderson,https://www.basketball-reference.com/players/a/anderal01.html,1982-10-16,Free Agent / Retired,Right,Small Forward and Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/anderal01.jpg
Alan Henderson,https://www.basketball-reference.com/players/h/hendeal01.html,1972-12-02,Free Agent / Retired,Right,Power Forward,
Alan Williams,https://www.basketball-reference.com/players/w/willial03.html,1993-01-28,Free Agent / Retired,Right,Power Forward and Center,https://www.basketball-reference.com/req/202106291/images/headshots/willial03.jpg
Alando Tucker,https://www.basketball-reference.com/players/t/tuckeal02.html,1984-02-11,Free Agent / Retired,Right,Small Forward and Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/tuckeal02.jpg
Alec Burks,https://www.basketball-reference.com/players/b/burksal01.html,1991-07-20,Miami Heat,Right,Shooting Guard and Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/burksal01.jpg
Alec Peters,https://www.basketball-reference.com/players/p/peteral01.html,1995-04-13,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/peteral01.jpg
Aleem Ford,https://www.basketball-reference.com/players/f/fordal03.html,1997-12-22,Free Agent / Retired,Right,Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/fordal03.jpg
Aleksandar Djordjevic,https://www.basketball-reference.com/players/d/djordal01.html,1967-08-26,Free Agent / Retired,Right,Shooting Guard,
Aleksandar Radojević,https://www.basketball-reference.com/players/r/radojal01.html,1976-08-08,Free Agent / Retired,Right,Center,
Aleksej Pokusevski,https://www.basketball-reference.com/players/p/pokusal01.html,2001-12-26,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/pokusal01.jpg
Alen Smailagić,https://www.basketball-reference.com/players/s/smailal01.html,2000-08-18,Free Agent / Retired,Right,Power Forward and Center,https://www.basketball-reference.com/req/202106291/images/headshots/smailal01.jpg
Alex Acker,https://www.basketball-reference.com/players/a/ackeral01.html,1983-01-21,Free Agent / Retired,Right,Shooting Guard,
Alex Caruso,https://www.basketball-reference.com/players/c/carusal01.html,1994-02-28,Oklahoma City Thunder,Right,Point Guard and Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/carusal01.jpg
Alex Ducas,https://www.basketball-reference.com/players/d/ducasal01.html,2000-12-11,Oklahoma City Thunder,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/ducasal01.jpg
Alex Fudge,https://www.basketball-reference.com/players/f/fudgeal01.html,2003-05-06,Free Agent / Retired,Right,Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/fudgeal01.jpg
Alex Garcia,https://www.basketball-reference.com/players/g/garcial01.html,1980-03-04,Free Agent / Retired,Left,Shooting Guard,
Alex Kirk,https://www.basketball-reference.com/players/k/kirkal01.html,1991-11-14,Free Agent / Retired,Right,Center,https://www.basketball-reference.com/req/202106291/images/headshots/kirkal01.jpg
Alex Len,https://www.basketball-reference.com/players/l/lenal01.html,1993-06-16,Sacramento Kings,Right,Center,https://www.basketball-reference.com/req/202106291/images/headshots/lenal01.jpg
Alex Poythress,https://www.basketball-reference.com/players/p/poythal01.html,1993-09-06,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/poythal01.jpg
Alex Reese,https://www.basketball-reference.com/players/r/reeseal01.html,1999-05-21,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/reeseal01.jpg
Alex Sarr,https://www.basketball-reference.com/players/s/sarral01.html,2005-04-26,Washington Wizards,Right,Center and Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/sarral01.jpg
Alex Scales,https://www.basketball-reference.com/players/s/scaleal01.html,1978-07-03,Free Agent / Retired,Right,Shooting Guard,
Alex Stepheson,https://www.basketball-reference.com/players/s/stephal01.html,1987-08-07,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/stephal01.jpg
Alexander Johnson,https://www.basketball-reference.com/players/j/johnsal01.html,1983-02-08,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/johnsal01.jpg
Alexey Shved,https://www.basketball-reference.com/players/s/shvedal01.html,1988-12-16,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/shvedal01.jpg
Alexis Ajinça,https://www.basketball-reference.com/players/a/ajincal01.html,1988-05-06,Free Agent / Retired,Right,Center and Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/ajincal01.jpg
Alfonzo McKinnie,https://www.basketball-reference.com/players/m/mckinal01.html,1992-09-17,Free Agent / Retired,Right,Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/mckinal01.jpg
Alize Johnson,https://www.basketball-reference.com/players/j/johnsal02.html,1996-04-22,Free Agent / Retired,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/johnsal02.jpg
Allan Houston,https://www.basketball-reference.com/players/h/houstal01.html,1971-04-20,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/houstal01.jpg
Allan Ray,https://www.basketball-reference.com/players/r/rayal01.html,1984-06-17,Free Agent / Retired,Right,Shooting Guard,
